slug,name,manager,cells,factor_set,quantities,max_abs_diff,max_rel_diff,agree,worst_quantity,ff3_alpha_r,ff3_alpha_python,ff3_t_r,ff3_t_python,score_r,score_python
abrams,Abrams Capital,David Abrams,104,US,51,1.31450406115619e-13,2.48989224925186e-13,True,t_alpha (FF5),-0.0293251790493471,-0.0293251790493471,-0.63431890186203,-0.63431890186203,0.0,0.0
adage,Adage Capital,Phill Gross / Robert Atchinson,155,US,51,2.1316282072802998e-13,2.26538770052048e-13,True,alpha-maxing score,0.0105434749137758,0.0105434749137758,0.919242778730277,0.919242778730281,69.9284758970788,69.9284758970786
akre,Akre Capital,Chuck Akre,155,US,51,2.20268248085631e-13,1.8862263555545898e-12,True,alpha-maxing score,0.0054059362141576,0.0054059362141578,0.196531148924172,0.19653114892418,51.0110558018399,51.0110558018397
altimeter,Altimeter Capital,Brad Gerstner,155,US,51,2.20268248085631e-13,1.04558708755871e-13,True,alpha-maxing score,-0.0277992034075765,-0.0277992034075762,-0.464333172632759,-0.464333172632755,21.4320238483734,21.4320238483731
appaloosa,Appaloosa,David Tepper,110,US,51,2.27373675443232e-13,4.58976773859997e-13,True,alpha-maxing score,0.0103661878842899,0.0103661878842909,0.258819750154857,0.258819750154882,81.518018421701,81.5180184217008
aqr,AQR Capital Management,Cliff Asness (quant),155,US,51,2.20268248085631e-13,2.8967778681048e-13,True,alpha-maxing score,0.0133737349593899,0.0133737349593902,1.58750003747334,1.58750003747336,63.1214668873965,63.1214668873962
arrowstreet,Arrowstreet Capital,quant,110,US,51,3.95294907917787e-13,8.042783321825e-13,True,t_alpha (FF5),-0.0035634646221955,-0.0035634646221948,-0.337577710313522,-0.33757771031345,44.6247374880362,44.6247374880364
atreides,Atreides Management,Gavin Baker,77,US,51,2.1049828546892998e-13,8.83134845936631e-13,True,t_alpha (FF5),0.112581777782375,0.112581777782375,1.9434006797213,1.9434006797213,100.0,100.0
balyasny,Balyasny Asset Management,Dmitry Balyasny,140,US,51,1.43468570357186e-13,4.3900620444783294e-12,True,t_alpha (FF5),0.0016982435540019,0.0016982435540019,0.110400231219105,0.110400231219104,52.4239618049582,52.4239618049582
baupost,Baupost Group,Seth Klarman,86,US,51,1.10134124042816e-13,2.55725295018721e-13,True,t_alpha (Carhart4),-0.0670082595452578,-0.067008259545258,-1.55483584936319,-1.55483584936319,0.0,0.0
belvedere,Belvedere Trading,market maker (options),68,US,51,8.81072992342524e-13,1.63657982281659e-11,True,t_alpha (Carhart4),0.0949663144062503,0.0949663144062503,2.08091464573598,2.08091464573598,93.0194469471657,93.0194469471657
berkshire-13f,Berkshire Hathaway (13F holdings),Warren Buffett,155,US,51,4.4408920985006297e-13,1.7311753763954e-13,True,alpha-maxing score,-0.023000982562176,-0.0230009825621758,-1.28846477155433,-1.28846477155433,26.0659844623603,26.0659844623598
brevan-howard,Brevan Howard,Alan Howard,65,US,51,6.91890988946398e-13,1.06791183021249e-12,True,t_alpha (Carhart4),-0.054423395569178,-0.0544233955691778,-0.902711579173936,-0.902711579173934,0.0,0.0
bridgewater,Bridgewater Associates,Ray Dalio (macro),155,US,51,5.21804821573824e-14,9.521172494439161e-14,True,t_alpha (FF5),-0.0273705181629372,-0.0273705181629371,-1.43000241186289,-1.43000241186288,0.0,0.0
