factor,cash_flow,earnings_yield,ind:Basic Materials,ind:Communication Services,ind:Consumer Cyclical,ind:Consumer Defensive,ind:Energy,ind:Financial Services,ind:Healthcare,ind:Industrials,ind:Real Estate,ind:Technology,ind:Unknown,ind:Utilities,low_vol,market,momentum,profitability,reversal,size,value
cash_flow,0.00015204102086073854,5.4004434614065324e-05,-4.2014536096472405e-05,-6.259791456734739e-05,-3.7831816232245954e-05,-8.440496171859925e-05,-0.000326186989411002,8.804187180652817e-05,-9.82331835162505e-07,-8.299780275543289e-05,4.524554817447808e-05,0.0001605488616270827,4.5138763807651574e-05,-0.00010824723129947199,-6.118438594781479e-05,1.0344721524311416e-05,-9.784403549779584e-05,-0.00016355339608104376,6.87695410468392e-05,-2.4981462369902745e-05,-1.1862329159786929e-05
earnings_yield,5.4004434614065324e-05,0.0004780883288207173,1.2843487343721334e-05,9.349200543351801e-05,0.00013014635718784873,8.163999962476478e-05,0.00024005290645703675,6.594198943882917e-05,0.000270277803544024,-6.481283665873063e-05,-7.530072199434799e-05,-0.00034357773177222785,-0.0002966584059935005,-6.125722111300448e-05,0.0001693641745663069,-0.00013414306857873788,-0.00023697245442114826,-0.0002245566618169586,5.782503616401194e-05,0.00014393680333846083,-0.0001589683236728597
ind:Basic Materials,-4.20145360964724e-05,1.2843487343721328e-05,0.001454909194076744,0.00016020530754802585,4.019971478166975e-05,0.00017628155604173019,0.0009990852235648422,-0.00023008367589111934,-0.00015280331432080243,0.00011044921818495385,5.2341440125320025e-05,-0.0004491577601912757,0.00023333647855512874,0.0002845853593543101,6.57087289721932e-05,-1.4698809493806207e-05,-0.00017040427868626024,0.00016027431027474968,-8.835072786063165e-05,1.0408465407930411e-05,9.866280159975627e-05
ind:Communication Services,-6.259791456734739e-05,9.3492005433518e-05,0.00016020530754802588,0.0014383209469779807,0.00011670232307590648,-0.00031424528043051886,0.00019704598982395467,0.00018932322432077542,-0.00030410898960636136,-0.0003452529536079857,-7.669653801690113e-05,-0.00013037665965371582,0.0003536774464250462,0.0002325229292089006,0.00010050182192773104,-0.0003667585149258786,-0.0002313399301944074,9.50874211308105e-05,-1.2111764186696238e-08,-1.1725589505642276e-05,-8.274760703682133e-05
ind:Consumer Cyclical,-3.7831816232245954e-05,0.0001301463571878487,4.019971478166976e-05,0.00011670232307590648,0.00043204854225339446,7.219774175529362e-05,-0.00019870593966241033,7.202292984835194e-05,-2.9066679459339154e-05,5.758342554248166e-06,9.026424456515577e-05,-0.00037715547820419375,-8.806614127875964e-05,-1.1146448245912032e-05,3.547054856331197e-05,0.00021789140406153093,-4.07436180510677e-05,-8.296842601689925e-06,4.05090598794629e-05,6.376088118646913e-05,-7.835761862310953e-05
ind:Consumer Defensive,-8.440496171859925e-05,8.163999962476477e-05,0.00017628155604173019,-0.00031424528043051886,7.219774175529363e-05,0.0009262866762933595,0.0004145641556997939,-0.00040306890487908645,0.0001963171304070934,0.00025850300589083897,0.00011026314089075914,-0.0004904353864961052,-7.874233795089906e-05,0.0002488622073079747,0.0003183813160100059,-0.0004455896815233485,0.00011812650669718718,0.00010652741406868238,-9.455490601726698e-05,6.427890091187491e-05,1.791512234056891e-05
ind:Energy,-0.0003261869894110019,0.00024005290645703675,0.0009990852235648422,0.00019704598982395462,-0.00019870593966241036,0.00041456415569979374,0.005325391933601992,-0.0003353448147735673,1.6992007841405818e-05,-0.00013464247789409515,-0.00034755700382227346,-0.0008928799902385363,-0.00037307405843054137,0.0003181991498586364,0.000693891135704271,-0.0011251839204118048,-0.0003497333499728247,0.00037086848417229834,4.790191537784866e-05,0.00012864616826463354,0.00027501651934712634
ind:Financial Services,8.804187180652817e-05,6.594198943882918e-05,-0.00023008367589111934,0.00018932322432077547,7.202292984835196e-05,-0.00040306890487908645,-0.00033534481477356736,0.0006815809264240252,-0.00014791056709855896,-0.0002086655747527505,-1.0900636204111491e-05,5.628670037329789e-06,2.8809221705227468e-05,-0.00035537662717158053,-9.802304734676044e-05,0.00016441033236959298,-9.41131369008949e-05,-0.00015180223896491446,9.512831365616232e-05,-1.3309840270434381e-05,-7.659152866056733e-05
ind:Healthcare,-9.823318351624974e-07,0.000270277803544024,-0.00015280331432080245,-0.00030410898960636136,-2.906667945933916e-05,0.00019631713040709338,1.69920078414058e-05,-0.00014791056709855896,0.0010414584103715942,-0.00016564038869893694,-6.111760213080177e-05,-0.0004249786686863081,-0.00048113588757463395,-0.00016175794304170387,0.00043330286800120405,-0.00035799843956102186,-0.00011589289899666815,-0.00012518016286896388,5.889044330883324e-05,0.0001236892284454131,-4.583212114939722e-05
ind:Industrials,-8.29978027554329e-05,-6.481283665873063e-05,0.00011044921818495385,-0.00034525295360798565,5.758342554248169e-06,0.0002585030058908389,-0.00013464247789409512,-0.00020866557475275046,-0.00016564038869893696,0.0005684886493649935,-4.2689004925027736e-05,-0.00016576306232316494,-2.744814291319678e-05,0.0002914988537613693,-0.00013654833478569836,0.00035958891837457575,0.0002010954124875478,0.000130468053724787,-0.00015171011525106363,5.364708763092218e-05,3.8224504532420385e-05
